AA	Altezas
dal	decalitro
dam	decâmetro
dasim	dasimetria
dason	dasonomia
dast	decastéreo
dat	dativo
DD	Digníssimo
dec	decoração
decl	declinação
declin	declinação
decor	decoração
Decr	decrescendo
decr	decreto
ded	dedutivo
def	definido
defin	definição
dem	demonstrativo
democ	democrático
democr	democracia
demog	demografia
demogr	demografia
demonstr	demonstrativo
dens	densidade
dep	departamento
depr	depreciativo
deprec	depreciativo
deps	departamentos
deriv	derivação
derm	dermatologia
des	desusado
desc	desconto
descr	descritivo
Desemb	desembargador
desemb	desembargador
desemboc	desembocadura
desen	desenho
desin	desinência
desp	despesa
despor	desporto
desus	desusado
det	determinativo
determ	determinativo
dev	deverbal
dg	decigrama
dgf	decigrama-força
dgr	decígrado
di	dioptria
diác	diácono
dial	dialeto
dialet	dialetal
dialét	dialética
dic	dicionário
did	didática
diet	dietético
dif	diferente
Digmo	Digníssimo
dim	diminutivo
dimin	diminutivo
din	dinamarquês
dinam	dinamarquês
dinâm	dinâmico
dioc	diocese
dipl	diploma
diplom	diplomática
dir	direito
disc	discurso
disfem	disfemismo
disfem	disfemismo
diss	dissertação
distr	distributivo
docs	documentos
docum	documentação
dog	dogmático
dogm	dogmático
dogmát	dogmático
dól	dólar
dom	doméstico
domin	dominicano
domín	domínico
dór	dórico
Dr	doutor
Dra	doutora
dram	dramático
dram	dramático
Dras	doutoras
drav	dravídico
Drs	doutores
dst	decistéreo
dual	dualismo
dualid	dualidade
dur	dureza
ecd	ecdótica
ecl	eclesiástico
écl	écloga
ecles	eclesiástico
ecol	ecologia
econ	economia	
ed	edição
edif	edifício
educ	educação
EE	editores
efem	efeméride
egíp	egípcio
el	elemento
elem	elemento
eletr	eletricidade
elétr	elétrico
eletrodin	eletrodinâmica
eletrol	eletrologia
eletrom	eletrometria
eletrôn	eletrônica
eletrot	eletroterapia
elipt	elipticamente
elipt	elíptico
Em	Eminência
Emb	Embaixador
emb	Embaixador
embal	embalagem
embr	embriologia
embriol	embriologia
emigr	emigração
emol	emolumento
emp	empresa
emp	empresarial
empír	empírico
empr	empresa
emprés	empréstimo
enc	encadernação
encícl	encíclica
encicl	enciclopédia
End	endereço	
endoc	endocrinologia
energ	energia
energét	energética
enf	enfermagem
eng	engenheiro
enol	enologia
ens	ensino
ent	entomologia
entom	entomologia
entomol	entomologia
enx	enxadrismo
epig	epigrafia
epigr	epigrafia
eq	equipamento
equat	equatoriano
equit	equitação
equiv	equivalente
ergol	ergologia
erud	erudito
Esc	escadas
esc	escocês
escand	escandinavo
escoc	escocês
escol	escolar
escolást	escolástica
escr	escrito
escult	escultura
esgr	esgrima
esl	eslavo
eslav	eslavo
eslov	eslovaco
esot	esoterismo
esp	espanhol
esp	especial
espec	especial
especialm	especialmente
especif	especificação
específ	específico
espect	espectroscopia
espectrogr	espectrografia
espel	espeleologia
espeleol	espeleologia
espet	espetáculo
espir	espiritismo
esport	esporte
esq	esquerdo
est	estado
estad	estadismo
estat	estatística
estatíst	estatística
estenog	estenografia
estenogr	estenografia
estereogr	estereografia
estét	estética
estil	estilística
eston	estoniano
estr	estratigrafia
estrang	estrangeiro
estrangeir	estrangeirismo
estrat	estratégia
estratég	estratégia
estrem	estremenho
estrut	estrutura
estud	estudante
et	ética
etc	etcétera
etim	etimologia
etimol	etimologia
etióp	etiópico
étn	étnico
etn	etnônimo
etnog	etnografia
etnogr	etnografia
etnol	etnologia
etnolog	etnologia
etol	etologia
euf	eufemismo
eufêm	eufêmico
eufem	eufemismo
eufon	eufonia
eufôn	eufônico
eufor	euforia
eur	europeu
Ex	Excelência
ex	exemplo
Exa	Excelência
excl	exclamação
excl	exclamativo
exclam	exclamação
exclamat	exclamativo
excurs	excursionismo
exe	exército
exérc	exército
Exma	Excelentíssimo
Exmo	Excelentíssimo
exp	experiência
exper	experiência
expl	expletivo
expl	explicativo
expl	explosivo
explet	expletivo
explor	exploração
explos	explosivo
export	exportação
expr	expressão
express	expressivo
ext	extensão
ext	extensão
ext	extenso
extens	extensivo
F	Farad
f	feminino
fáb	fábrica
fac	faculdade
falc	falcoaria
falcoar	falcoaria
fam	família
fam	familiar
farm	farmacêutico
farmac	farmacologia
farmacol	farmacologia
farmacop	farmacopéia
fasc	fascículo
fascs	fascículos
fauv	fauvismo
fed	federação
feder	federação
feit	feitiçaria
fem	feminino
fen	fenício
fenom	fenomenalismo
fenôm	fenômeno
fer	ferrovia
ferrad	ferradoria
ferrov	ferrovia
feud	feudal
feud	feudal
fev	fevereiro
FF	Fidelíssimas
ff	folha
fg	figura
fig	figura
figurat	figurativismo
figurativ	figurativismo
fil	filologia
filat	filatelia
filol	filologia
filos	filosofia
fin	final
finl	finlandês
fís	física
fis	fisiologia
fís-quím	físico-química
fisc	fiscal
fisioc	fisiocracia
fisiocr	fisiocracia
fisiocrat	fisiocratismo
fisiol	fisiologia
fisl	fisiologia
fispat	fisiopatologia
fitog	fitogeografia
fitol	fitologia
fitopat	fitopatologia
fitossoc	fitossociologia
fl	flexão
flam	flamengo
flex	flexão
floric	floricultura
fls	folhas
flum	fluminense
flumin	fluminense
fluv	fluvial
fluv	fluvial
fm	forma
fo	fólio
fog	fogueiro
fol	folha
folc	folclore
folh	folheto
fols	folhas
fon	fonética
fonét	fonética
fonol	fonologia
for	forense
form	formação
fórm	fórmula
formul	formulário
fort	fortificação
fos	fólios
fós	fóssil
fot	fotografia
fotoan	fotoanálise
fotoanál	fotoanálise
fotogr	fotografia
fotom	fotometria
fov	fovismo
fr	francês
fr-maç	franco-maçonaria
frac	fracionário
fracc	fraccionário
frânc	frâncico
franc	franco
freg	freguesia
frenol	frenologia
freq	frequentativo
frig	frigorífico
frut	fruticultura
fs	fac-símile
fss	fac-símiles
ft	pé
fulv	fulvismo
fund	fundação
fut	futuro
futb	futebol
futeb	futebol
futur	futurismo
G	gauss
g	grama
gaél	gaélico
gal	galego
Gal	General
galic	galicismo
galv	galvanismo
gar	garimpo
gasc	gascão
gaul	gaulês
gav	gaveta
gen	genealogia
Gen	General
gen	general
gên	gênero
gen	genitivo
geneal	genealogia
genét	genética
genov	genovês
geo	geografia
geod	geodésia
geof	geofísica
geofís	geofísica
geog	geografia
geogn	geognosia
geogr	geografia
geol	geologia
geom	geometria
geomor	geomorfologia
geomorf	geomorfologia
geon	geonímia
geôn	geônimo
ger	geral
ger	geral
germ	germânico
gf	grama-força
GG	Graças
gin	ginástica
ginást	ginástica
ginec	ginecologia
ginecol	ginecologia
gír	gíria
gliptog	gliptografia
gliptogr	gliptografia
gliptol	gliptologia
gliptot	gliptoteca
gloss	glossário
glót	glótica
glotol	glotologia
gn	guinéu
gnom	gnomônica
gót	gótico
gov	governador
Gov	governador
gr	grego
gráf	gráfico
graf	grafologia
grafol	grafologia
grafosc	grafoscopia
gram	gramática
grav	gravura
grd	grande
groen	groenlandês
groenl	groenlandês
gt	gota
guar	guarani
guat	guatemalteco
guatem	guatemalteco
guin	guinéu
gutt	gota
guz	guzarate
h	hora
ha	hectare
hab	habitante
hag	hagiografia
hagiog	hagiografia
hagiogr	hagiografia
hagiol	hagiológico
haplol	haplologia
hast	hastim
hebd	hebdomadário
hebr	hebraico
helm	helmintologia
helmin	helmintologia
helmintol	helmintologia
hem	hematologia
heort	heortônimo
heortôn	heortônimo
her	heráldica
herál	heráldica
heráld	heráldica
herb	herbário
herp	herpetologia
herpét	herpético
herpet	herpetografia
herpetogr	herpetografia
herpetol	herpetologia
het	heteronímia
hg	hectograma
HH	Honras
hib	hibridismo
híb	híbrido
hibr	hibridismo
híbr	híbrido
hibrid	hibridismo
hidr	hidráulico
hidr	hidrografia
hidrául	hidráulica
hidrod	hidrodinâmica
hidrog	hidrografia
hidrogr	hidrografia
hidrol	hidrologia
hidrom	hidrometria
hidrost	hidrostática
hidrot	hidroterapia
hier	hierônimo
hierôn	hierônimo
hierosolim	hierosolimitano
hig	higiene
higr	higrometria
hind	hindu
híp	hípico
hip	hipotético
hipál	hipálage
hipérb	hipérbole
hipiat	hipiatria
hipnot	hipnoterapia
hipnoter	hipnoterapia
hipoc	hipocorístico
hipocor	hipocorístico
hipol	hipologia
hipót	hipótese
hipot	hipotético
hipotét	hipotético
hisp	hispânico
hisp-am	hispano-americano
hisp-amer	hispano-americano
hisp-lat	hispano-latino
hisp-ár	hispano-árabe
hist	história
histol	histologia
historiog	historiografia
historiogr	historiografia
hl	hectolitro
hm	hectômetro
hol	holandês
hom	homônimo
homeo	homeopatia
homeop	homeopatia
homof	homofonia
homog	homografia
homogr	homografia
homon	homonímia
homôn	homônimo
hon	honorário
hond	hondurenho
hort	horticultura
hortic	horticultura
hot	hotentote
hotent	hotentote
hpz	hectopiezo
hum	humano
húng	húngaro
hw	hectowatt
iat	iatismo
ib	ibidem
ibér	ibérico
ibid	ibidem
iconog	iconografia
iconogr	iconografia
iconol	iconologia
ict	ictiologia
ictiol	ictiologia
id	idem
idiot	idiotismo
idol	idolatria
idolol	idololatria
igr	igreja
Il	ilustração
Ilma	ilustríssima
Ilmas	ilustríssimas
Ilmo	ilustríssimo
Ilmos	ilustríssimos
ilum	iluminação
ilus	ilusionismo
ilusion	ilusionismo
ilustr	ilustrado
imigr	imigração
imit	imitação
imp	imperfeito
imper	imperativo
imperat	imperativo
imperf	imperfeito
impes	impessoal
impess	impessoal
import	importação
impr	imprensa
impres	impressionismo
impression	impressionismo
improp	impropriamente
in	polegada
inc	incoativo
incoat	incoativo
incóg	incógnito
ind	indefinido
índ	índice
indef	indefinido
indet	indeterminado
indian	indianismo
indiv	indivíduo
indoch	indochinês
indon	indonésio
indost	indostano
indum	indumentária
indust	industano
indúst	indústria
inf	infinitivo
infan	infantil
infant	infantil
infer	inferioridade
infin	infinitivo
infl	influência
inform	informação
ing	inglês
ins	insular
inscr	inscrição
insep	inseparável
inst	instrumento
instit	instituição
int	interrogativo
integr	integrante
intens	intensivo
interamn	interamnense
interj	interjeição
interjet	interjetivamente
intern	internacional
internac	internacional
interr	interrogativo
interrog	interrogativo
interrogat	interrogativo
intj	interjeição
intr	intransitivo
intrans	intransitivo
inus	inusitado
inv	invariável
invar	invariável
invest	investigação
investig	investigação
iran	iraniano
iraq	iraquiano
irl	irlandês
iron	ironia
irôn	irônico
irr	irregular
irreg	irregular
isl	islandês
islam	islamita
island	islandês
isr	israelita
israel	israelita
it	italiano
ít	ítalo
ital	italianismo
itál	itálico
italian	italianismo
iug	iugoslavo
J	joule
jam	jamaicano
jan	janeiro
jap	japonês
jard	jardinagem
jardin	jardinagem
jav	javanês
jaz	minas	e	jazidas
jes	jesuitismo
joalh	joalharia
joc	jocoso
jorn	jornalismo
Jr	júnior
jud	judaico
jul	julho
jun	junho
jur	jurídico
juris	jurisprudência
jurisp	jurisprudência
jurispr	jurisprudência
just	justiça
kc	quilociclo
kcal	quilocaloria
kg	quilograma
kgf	quilograma-força
kgm	quilogrâmetro
kj	quilojoule
kJ	quilojoule
kl	quilolitro
km	quilômetro
kw	quilowatt
kW	quilowatt
kWh	quilowatt-hora
kwh	quilowatt-hora
l	litro
lab	laboratório
labor	laborterapia
laborat	laboratório
labort	laborterapia
lact	lacticínio
lâm	lâmina
lanç	lançamento
lanc	lanceiro
lap	lapão
lapid	lapidário
larg	largura
lat	latim
latit	latitude
latoar	latoaria
lb	libra
leg	legal
leg	legislação
lég	légua
legisl	legislação
légs	léguas
leit	leitura
let	letão
lex	lexicografia
lib	libanês
lig	ligação
lim	limnologia
limit	limitação
lin	linimento
líng	Língua
ling	linguística
linguíst	linguística
líq	líquido
lit	literalmente
liter	literatura
literal	literalidade
literat	literatura
litog	litografia
litogr	litografia
litol	litologia
lituan	lituano
litur	liturgia
liturg	liturgia
liv	livro
Livr	livraria
ll	linha
lm	lúmen
loc	locução
log	logaritmo
lóg	lógica
logar	logaritmo
logíst	logística
lomb	lombardo
long	longitude
loq	loquitur
lr	lira
Ltd	limitado
Ltda	limitado
ltda	limitado
ludol	ludologia
lug	lugar
lund	lundês
lunf	lunfardo
lus	lusitano
lusit	lusitanismo
luso-afr	luso-africanismo
luso-asit	luso-asiaticismo
lut	luta
luv	Luvaria
m	metro
m-q-perf	mais-que-perfeito
maç	maçonaria
maçon	maçonaria
mad	madeirense
madeir	madeirense
mag	magia
Mag	Magnificência
magn	magnetismo
magnet	magnetismo
magnit	magnitude
mai	maio
maiúsc	maiúscula
Maj	major
maj	major
Maj-Brig	Major-Brigadeiro
maj-brig	major-brigadeiro
Mal	Marechal
malab	malabar
malac	malacologia
malacol	malacologia
malai	malaiala
malg	malgaxe
malh	malharia
mamal	mamalogia
man	manípulo
manuf	manufatura
maomet	maometano
map	mapuche
máq	máquina
maq	maquinista
maquinof	maquinofatura
maranh	maranhense
marc	marcenaria
march	marchantaria
marchet	marcheteria
marg	marginal
marin	marinharia
marinh	marinharia
marít	marítimo
marn	marnotagem
marr	marroquino
marroq	marroquino
martin	martinicano
marx	marxismo
masc	masculino
mat	matemática
matad	matadouro
matem	matemática
mater	material
matogros	mato-grossense
mato-gros	mato-grossense
máx	máximo
Mb	megabit
MB	megabyte
Mc	megaciclo
mcal	milicaloria
Mce	Mercê
mct	macuta
Md	megadina
Mdyn	megadina
mec	mecânica
mecân	mecânica
mecan	mecanografia
mecanogr	mecanografia
méd	médico
med	medieval
mediev	medieval
medv	medieval
mem	memorial
memor	memorandum
mens	mensal
mer	meridional
merc	mercúrio
mercad	mercadologia
merid	meridional
met	metátese
metáf	metáfora
metaf	metafórico
metafis	metafísica
metafór	metafórico
metal	metalurgia
metalog	metalografia
metalur	metalurgia
metát	metátese
meteor	meteorologia
meton	metonímia
metr	metrificação
metrif	metrificação
metrol	metrologia
mex	mexicano
mexic	mexicano
mg	miligrama
mgf	miligrama-força
mgr	milígrado
mH	milihenry
micol	micologia
microbiol	microbiologia
microfot	microfotografia
microg	micrografia
microl	micrologia
microm	micrometria
microsc	microscopia
microscóp	microscópico
mín	mínimo
min	minuto
miner	mineralogia
ming	minguante
minh	minhoto
minúsc	minúsculo
mist	misticismo
míst	místico
mit	mitologia
mitol	mitologia
mitôn	mitônimo
mk	marco
ml	mililitro
Ml	mirialitro
Mlle	senhorita
MM	Majestades
MM	meritíssimo
mm	milímetro
Mm	miriâmetro
Mme	madame
mme	madame
moag	moagem
mob	mobiliário
moçamb	moçambicanismo
mod	moderno
mod	moderno
monog	monografia
monogr	monografia
Mons	monsenhor
mons	monsenhor
mont	montaria
montanh	montanhismo
mor	moralismo
moralid	moralidade
morf	morfologia
morfol	morfologia
mov	movimento
Mr	senhor
Mrs	senhora
MS	manuscrito
ms	manuscrito
Ms	manuscrito
mss	manuscritos
mth	militermia
mult	multiplicativo
mun	municipal
mus	museologia
mús	música
mús	música
museol	museologia
mV	milivolt
n	neutro
N	norte
nac	educação	nacional
nac	nacional
nat	natural
natur	naturalismo
náu	náuatle
náua	náuatle
náut	náutico
nav	naval
naz	nazismo
NE	Nordeste
neerl	neerlandês
neg	negativo
neo-ár	neo-árico
neoguin	neoguinéu
neol	neologia
neolog	neologismo
neozel	neozelandês
nep	nepalês
neur	neurologia
neutr	neutralmente
nicar	nicaraguense
nicarag	nicaraguense
nig	nigeriano
niger	nigeriano
NNE	Nor-Nordeste
NNO	Nor-Noroeste
NNW	Nor-Noroeste
NO	Noroeste
nobil	nobiliarquia
nom	nome
nor	norueguês
nórd	nórdico
norm	normalização
normat	normativo
nort-am	norte-americano
norueg	norueguês
notic	noticiário
nov	novembro
nucl	nuclear
num	numeral
núm	número
numis	numismática
numism	numismática
nutr	nutrição
NW	Noroeste
NW	Noroeste
O	Oeste
ob	obra
obed	obediente
obj	objeto
obs	observação
obsol	obsoleto
obst	obstetrícia
obstet	obstetrícia
oc	ocidental
ocean	oceanografia
oceanogr	oceanografia
ocid	ocidental
ocul	oculista
ocult	ocultismo
odont	odontologia
odontol	odontologia
Of	oferecer
of	oficial
ofid	ofidismo
oft	oftalmologia
oftalm	oftalmologia
oftalmol	oftalmologia
olig	oligarquia
onç	onça
oneol	oneologia
ONO	Oés-Nordeste
ONO	Oés-Noroeste
onom	onomatopéia
onomást	onomástica
onomat	onomatopéia
onomatop	onomatopéico
op	obra
ópt	óptica
ópt	óptimo
optat	optativo
or	oriental
orat	oratória
ord	ordinal
org	organismo
organiz	organização
orig	originário
origin	originário
orign	originariamente
orn	ornitologia
ornit	ornitologia
ornitol	ornitologia
orog	orografia
orogr	orografia
orôn	orônimo
ort	ortografia
ortogr	ortografia
ortográf	ortográfico
ortop	ortopedia
ostr	ostreicultura
otorr	otorrinolaringologia
otorrin	otorrinolaringologia
our	ourivesaria
ouriv	ourivesaria
out	outubro
p	página
pag	paganismo
pág	página
págg	páginas
págs	páginas
pal	palavra
paleob	paleobotânica
paleog	paleografia
paleogr	paleografia
paleont	paleontologia
paleontol	paleontologia
paleoz	paleozoologia
pals	palavras
pan	panamenho
pan-amer	panamericanismo
panam	panamenho
paq	paquistanês
paraens	paraense
paraib	paraibano
paral	paralelo
paral	paralelo
paran	paranaense
paras	parasitologia
parassint	parassintético
parl	parlamentar
parn	parnasianismo
parnas	parnasianismo
parôn	parônimo
part	particípio
partic	particípio
partic	particularmente
pass	passado
passm	passamanaria
passr	passaricultura
passt	passatempos
past	pastelaria
pat	patologia
patol	patologia
pátr	pátrio
patr	patronímico
patrpatronímico
patron	patronímico
patrôn	patrônimo
paul	paulista
paulist	paulistano
pç	peça
pça	peça
pdl	poundal
Pe	Padre
pec	pecuária
ped	pediatria
ped	pedologia
pedag	pedagogia
pediat	pediatria
pedol	pedologia
pedr	pedreiras
pej	pejorativo
pen	penal
pen	penal
pent	penteado
peq	pequeno
per	persa
pér	pérsico
perf	perfeito
perfum	perfumaria
períf	perífrase
perífr	perífrase
pern	pernambucano
pernamb	pernambucano
pers	persa
pérs	pérsico
perspect	perspectiva
perspectiv	perspectivismo
peruv	peruviano
pesc	pescaria
pesq	pesquisa
pess	pessoal
pess	pessoal
pet	petrografia
petr	petrografia
petrog	petrografia
petrol	petrologia
petroq	petroquímica
pf	pfennig
pg	pago
píl	pílula
pint	pintura
pirot	pirotecnia
pirot	pirotécnica
pirotec	pirotecnia
pirotéc	pirotécnica
pisc	piscicultura
piscic	piscicultura
pizz	pizzicato
pk	peck
pl	plural
planej	planejamento
plást	plástico
plat	platino
pleb	Plebeísmo
plur	plural
PM	Polícia
pm	preamar
poes	poesia
poét	poética
pol	polegada
políc	polícia
polin	polinésio
polít	política
pop	população
popul	população
port	português
porto-riq	porto-riquenho
posit	positivismo
poss	possessivo
possess	possessivo
pot	potologia
potam	potamônimo
pov	povoado
pp	páginas
PP	Paternidades
pq	porque
pr	próprio
prác	prácrito
prát	prático
prec	precedente
preced	precedente
precis	precisamente
pred	predicativo
predic	predicativo
Pref	prefeito
pref	prefeito
pré-hist	pré-história
prep	preposição
prepos	prepositivo
pres	presente
presc	prescrição
presid	presidência
prest	prestidigitação
pret	pretérito
pret	pretérito
prev	previdência
prim	primitivo
princ	principal
princip	principado
priv	privativo
probl	problema
problem	problemático
proc	processo
Prof	professor
prof	professor
Profa	professora
profa	professora
Profas	professoras
profas	professoras
profis	profissão
profiss	profissão
profission	profissionalismo
Profs	professores
profs	professores
prom	promoção
pron	pronome
pronom	pronominal
pronún	pronúncia
prop	proporcional
propag	propaganda
propos	proposição
propr	propriamente
pros	prosódia
prosc	proscênio
prosôn	prosônimo
prost	prostético
prostét	prostético
prót	prótese
prot	protético
protest	protestante
protét	protético
protoc	protocolo
protoz	protozoário
prov	província
provav	provavelmente
provb	provérbio
provç	provençal
provc	província
proven	provençal
provenç	provençal
provinc	provincial
próx	próximo
PS	post-scriptum
pseud	pseudônimo
psic	psicologia
psican	psicanálise
psicofisl	psicofisiologia
psicogn	psicogonia
psicol	psicologia
psicopat	psicopatologia
psiq	psiquiatria
psiquiat	psiquiatria
pto	ponto
pts	pontos
pub	publicação
públ	público
public	publicação
pug	pugilismo
pz	piezo
q	que
Q-G	quartel-general
QG	quartel-general
ql	quilate
qto	quanto
qual	qualificativo
qualif	qualificativo
quant	quantidade
quantit	quantitativo
quart	quarteirão
quart	quartilho
quest	questionário
quí	quíchua
quích	quíchua
quím	química
quimb	quimbundo
quinz	quinzenal
quinzen	quinzenário
quir	quiromancia
quirom	quiromancia
r	reflexo
R	rua
radioat	radioatividade
radiod	radiodifusão
radiodif	radiodifusão
radiog	radiograma
radiogr	radiografia
radiol	radiologia
radiot	radiotécnica
radiot	radioterapia
radiotec	radiotecnia
radiotéc	radiotécnica
radiotécn	radiotécnica
radioter	radioterapia
rall	rallentando
rb	rublo
Rd	rádio
rdfot	radiofoto
rdlux	radiolux
real	realismo
realid	realidade
rec	receita
recip	reciprocidade
recíp	recíproco
recípr	recíproco
red	redução
ref	referência
refl	refletido
refl	reflexivo
reflex	reflexivo
reg	região
reg	regular
regim	regimento
region	regionalismo
regress	regressivo
rel	relativo
rel	religioso
relat	relatividade
relativ	relatividade
relig	religião
reloj	relojoaria
rep	república
repart	repartição
repert	repertório
report	reportagem
repúb	república
res	residência
rest	restrito
restr	restrição
restrit	restritivo
result	resultado
ret	retórica
retór	retórica
retrosp	retrospectivo
rev	reverendo
Rev	Reverendo
Revas	Reverências
Revdo	Reverendo
revers	reversível
Revmas	Suas	Reverendíssimas
Revmo	Reverendíssimo
rg	registro
rib	ribeira
rod	rodésio
rom	romano
rom	romano
rot	roteiro
RR	Reais
rs	réis
rub	rublo
rur	rural
rus	russo
russ	russo
rúst	rústico
S	Santo
s	segundo
sab	saboaria
sac	sacerdote
sagr	sagrado
sal	salina
sals	salsicharia
